Data Source,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67
Bulgaria,63.3,63.474,63.658,63.25,62.933,62.628,62.306,62.121,61.804,61.729,61.466,63.534,62.86,61.632,62.785,62.093,64.46,66.386,67.979,67.334,66.867,66.122,67.315,68.537,68.856,69.518,68.73,71.457,71.511,73.283,72.296,71.894,73.659,73.783,73.724,
Bahrain,67.853,67.926,68.065,67.914,67.773,67.685,67.674,67.753,67.937,68.232,68.631,68.817,68.723,68.681,68.823,69.176,69.751,70.527,71.445,72.419,73.068,72.552,72.999,73.047,72.764,72.953,73.55,73.947,73.832,73.445,71.556,71.244,72.559,73.154,73.133,
"Bahamas, The",75.519,76.23,76.924,77.599,78.246,78.471,78.689,78.809,79.029,79.304,79.464,79.576,79.685,79.655,79.682,79.781,79.842,79.844,79.722,79.57,79.621,79.66,79.795,79.767,79.899,80.018,80.096,80.312,80.568,80.686,75.997,77.87,80.149,80.45,80.41,
Bosnia and Herzegovina,59.226,59.25,59.118,58.75,58.321,58.021,57.967,58.053,58.195,58.415,58.692,58.982,59.26,59.515,59.774,60.017,60.231,60.417,60.624,60.657,60.746,60.813,60.778,60.801,60.774,60.877,60.975,61.092,61.206,61.259,61.053,61.426,61.76,62.678,62.902,
Belarus,68.554,68.621,68.877,69.081,69.455,69.901,69.866,69.64,69.676,69.832,70.583,71.31,71.881,72.366,72.75,73.087,73.456,73.778,74.074,74.396,74.713,75.098,75.578,76.072,76.58,77.063,77.501,77.947,78.177,78.36,78.521,78.887,79.393,79.324,79.317,
Belize,57.329,57.7,58.064,58.134,57.972,58.92,59.897,60.889,60.727,61.366,61.643,61.904,62.148,62.39,62.634,62.879,63.124,63.366,63.609,63.853,64.083,64.301,64.53,64.769,65.742,66.106,66.471,66.101,69.07,71.915,66.886,64.578,64.814,65.014,65.063,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,70.018,70.363,70.328,70.592,70.917,71.246,71.542,71.9,71.778,71.652,71.524,71.391,71.243,71.08,70.917,70.753,70.588,70.426,70.266,70.109,69.956,69.805,69.655,69.502,69.346,69.19,69.038,70.18,73.408,76.018,74.657,79.614,80.165,80.28,80.658,
Brazil,67.755,67.852,68.235,68.602,68.951,69.284,67.64,68.525,68.715,69.5,69.657,69.803,70.876,70.869,71.501,72.298,71.954,71.731,71.699,72.128,71.02,69.893,69.52,69.608,69.534,69.982,70.248,70.669,70.814,71.417,67.016,69.505,70.743,70.266,70.325,
Barbados,78.57,78.071,77.503,78.268,79.015,80.236,79.645,79.806,79.926,79.984,80.022,80.022,79.98,79.917,80.582,80.293,80.002,79.745,79.536,79.338,79.109,78.848,77.801,78.379,76.888,75.727,76.296,76.754,76.251,76.168,75.29,75.759,75.477,75.87,75.793,
